id,asin,price,currency,time,crawlTime,condition,sellerName,sellerId,sellerbewertung,seller_sterne,lieferdatum,lieferpreis,lieferung_durch,ranking,buyBoxWinner,numberOfSellers,trigByReactive,Fulfillment_type,date_diff,price_change_count_x,price_pct_change,price_change_count_y,price_change_count
1496.0,B083VM9J62,154.27,€,2023-03-19 13:00:00,2023-03-19 13:30:36.483797,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,22. - 24. März,31.25,Electronic_System,26.0,False,33.0,False,FBM,4.0,43,,43,43
1497.0,B083VM9J62,162.11,€,2023-03-19 13:00:00,2023-03-19 13:30:36.484152,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,22. - 23. März,31.25,Electronic_System,27.0,False,33.0,False,FBM,3.0,43,0.05081999092500156,43,43
1498.0,B083VM9J62,163.74,€,2023-03-19 13:00:00,2023-03-19 13:30:36.484511,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,20. - 24. April,31.25,Electronic_System,28.0,False,33.0,False,FBM,34.0,43,0.01005490099315276,43,43
10755.0,B083VM9J62,141.35,€,2023-03-19 14:00:00,2023-03-19 14:35:53.618469,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,22. - 23. März,31.25,Electronic_System,19.0,False,29.0,False,FBM,3.0,43,-0.13674117503358996,43,43
10762.0,B083VM9J62,154.27,€,2023-03-19 14:00:00,2023-03-19 14:35:53.620522,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,22. - 24. März,31.25,Electronic_System,26.0,False,29.0,False,FBM,4.0,43,0.09140431552882933,43,43
10763.0,B083VM9J62,162.11,€,2023-03-19 14:00:00,2023-03-19 14:35:53.620834,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,22. - 23. März,31.25,Electronic_System,27.0,False,29.0,False,FBM,3.0,43,0.05081999092500156,43,43
10764.0,B083VM9J62,163.74,€,2023-03-19 14:00:00,2023-03-19 14:35:53.621151,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,20. - 24. April,31.25,Electronic_System,28.0,False,29.0,False,FBM,34.0,43,0.01005490099315276,43,43
19956.0,B083VM9J62,141.35,€,2023-03-19 15:00:00,2023-03-19 15:42:27.181795,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. März,29.4,Electronic_System,25.0,False,29.0,False,FBM,7.0,43,-0.13674117503358996,43,43
19958.0,B083VM9J62,154.27,€,2023-03-19 15:00:00,2023-03-19 15:42:27.182572,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 28. März,29.4,Electronic_System,27.0,False,29.0,False,FBM,7.0,43,0.09140431552882933,43,43
19959.0,B083VM9J62,162.11,€,2023-03-19 15:00:00,2023-03-19 15:42:27.183080,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. März,29.4,Electronic_System,28.0,False,29.0,False,FBM,7.0,43,0.05081999092500156,43,43
19960.0,B083VM9J62,163.74,€,2023-03-19 15:00:00,2023-03-19 15:42:27.183482,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,24. - 26. April,29.4,Electronic_System,29.0,False,29.0,False,FBM,37.0,43,0.01005490099315276,43,43
29173.0,B083VM9J62,141.35,€,2023-03-19 16:00:00,2023-03-19 16:52:02.402631,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,29.0,False,FBM,8.0,43,-0.13674117503358996,43,43
29180.0,B083VM9J62,154.27,€,2023-03-19 16:00:00,2023-03-19 16:52:02.404937,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,26.0,False,29.0,False,FBM,9.0,43,0.09140431552882933,43,43
29181.0,B083VM9J62,162.11,€,2023-03-19 16:00:00,2023-03-19 16:52:02.405330,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,27.0,False,29.0,False,FBM,8.0,43,0.05081999092500156,43,43
29182.0,B083VM9J62,163.74,€,2023-03-19 16:00:00,2023-03-19 16:52:02.405692,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. April,31.25,Electronic_System,28.0,False,29.0,False,FBM,38.0,43,0.01005490099315276,43,43
38439.0,B083VM9J62,141.35,€,2023-03-19 17:00:00,2023-03-19 17:57:19.950638,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,29.0,False,FBM,8.0,43,-0.13674117503358996,43,43
38446.0,B083VM9J62,154.27,€,2023-03-19 17:00:00,2023-03-19 17:57:19.954003,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,26.0,False,29.0,False,FBM,9.0,43,0.09140431552882933,43,43
38447.0,B083VM9J62,162.11,€,2023-03-19 17:00:00,2023-03-19 17:57:19.954542,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,27.0,False,29.0,False,FBM,8.0,43,0.05081999092500156,43,43
38448.0,B083VM9J62,163.74,€,2023-03-19 17:00:00,2023-03-19 17:57:19.955108,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. April,31.25,Electronic_System,28.0,False,29.0,False,FBM,38.0,43,0.01005490099315276,43,43
47638.0,B083VM9J62,141.35,€,2023-03-19 19:00:00,2023-03-19 19:02:41.976794,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,29.0,False,FBM,8.0,43,-0.13674117503358996,43,43
47645.0,B083VM9J62,154.27,€,2023-03-19 19:00:00,2023-03-19 19:02:41.979094,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,26.0,False,29.0,False,FBM,9.0,43,0.09140431552882933,43,43
47646.0,B083VM9J62,162.11,€,2023-03-19 19:00:00,2023-03-19 19:02:41.979468,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,27.0,False,29.0,False,FBM,8.0,43,0.05081999092500156,43,43
47647.0,B083VM9J62,163.74,€,2023-03-19 19:00:00,2023-03-19 19:02:41.979847,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. April,31.25,Electronic_System,28.0,False,29.0,False,FBM,38.0,43,0.01005490099315276,43,43
56833.0,B083VM9J62,141.35,€,2023-03-19 20:00:00,2023-03-19 20:08:04.854659,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,29.0,False,FBM,8.0,43,-0.13674117503358996,43,43
56840.0,B083VM9J62,154.27,€,2023-03-19 20:00:00,2023-03-19 20:08:04.856615,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,26.0,False,29.0,False,FBM,9.0,43,0.09140431552882933,43,43
56841.0,B083VM9J62,162.11,€,2023-03-19 20:00:00,2023-03-19 20:08:04.856935,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,27.0,False,29.0,False,FBM,8.0,43,0.05081999092500156,43,43
56842.0,B083VM9J62,163.74,€,2023-03-19 20:00:00,2023-03-19 20:08:04.857261,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. April,31.25,Electronic_System,28.0,False,29.0,False,FBM,38.0,43,0.01005490099315276,43,43
66116.0,B083VM9J62,141.35,€,2023-03-19 21:00:00,2023-03-19 21:35:57.187603,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,29.0,False,FBM,8.0,43,-0.13674117503358996,43,43
66123.0,B083VM9J62,154.27,€,2023-03-19 21:00:00,2023-03-19 21:35:57.189767,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,26.0,False,29.0,False,FBM,9.0,43,0.09140431552882933,43,43
66124.0,B083VM9J62,162.11,€,2023-03-19 21:00:00,2023-03-19 21:35:57.190142,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,27.0,False,29.0,False,FBM,8.0,43,0.05081999092500156,43,43
66125.0,B083VM9J62,163.74,€,2023-03-19 21:00:00,2023-03-19 21:35:57.190524,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. April,31.25,Electronic_System,28.0,False,29.0,False,FBM,38.0,43,0.01005490099315276,43,43
75289.0,B083VM9J62,141.35,€,2023-03-19 22:00:00,2023-03-19 22:41:35.144078,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,28.0,False,FBM,8.0,43,-0.13674117503358996,43,43
75295.0,B083VM9J62,154.27,€,2023-03-19 22:00:00,2023-03-19 22:41:35.145970,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,25.0,False,28.0,False,FBM,9.0,43,0.09140431552882933,43,43
75296.0,B083VM9J62,162.11,€,2023-03-19 22:00:00,2023-03-19 22:41:35.146311,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,26.0,False,28.0,False,FBM,8.0,43,0.05081999092500156,43,43
75297.0,B083VM9J62,163.74,€,2023-03-19 22:00:00,2023-03-19 22:41:35.146644,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,25. - 27. April,31.25,Electronic_System,27.0,False,28.0,False,FBM,38.0,43,0.01005490099315276,43,43
84508.0,B083VM9J62,141.35,€,2023-03-19 23:00:00,2023-03-19 23:46:47.922734,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,19.0,False,27.0,False,FBM,8.0,43,-0.13674117503358996,43,43
84513.0,B083VM9J62,154.27,€,2023-03-19 23:00:00,2023-03-19 23:46:47.924297,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 29. März,31.25,Electronic_System,24.0,False,27.0,False,FBM,9.0,43,0.09140431552882933,43,43
84514.0,B083VM9J62,162.11,€,2023-03-19 23:00:00,2023-03-19 23:46:47.924671,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,27. - 28. März,31.25,Electronic_System,25.0,False,27.0,False,FBM,8.0,43,0.05081999092500156,43,43
84515.0,B083VM9J62,163.74,€,2023-03-19 23:00:00,2023-03-19 23:46:47.925033,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,26. - 28. April,31.25,Electronic_System,26.0,False,27.0,False,FBM,39.0,43,0.01005490099315276,43,43
93728.0,B083VM9J62,141.35,€,2023-03-20 00:00:00,2023-03-20 00:52:21.987477,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,28. - 29. März,31.25,Electronic_System,19.0,False,27.0,False,FBM,8.0,43,-0.13674117503358996,43,43
93733.0,B083VM9J62,154.27,€,2023-03-20 00:00:00,2023-03-20 00:52:21.989353,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,28. - 30. März,31.25,Electronic_System,24.0,False,27.0,False,FBM,9.0,43,0.09140431552882933,43,43
93734.0,B083VM9J62,162.11,€,2023-03-20 00:00:00,2023-03-20 00:52:21.989882,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,28. - 29. März,31.25,Electronic_System,25.0,False,27.0,False,FBM,8.0,43,0.05081999092500156,43,43
93735.0,B083VM9J62,163.74,€,2023-03-20 00:00:00,2023-03-20 00:52:21.990304,Neu,Electronic_System,AKGPZ9JBAW75N,1518.0,4.5,26. - 28. April,31.25,Electronic_System,26.0,False,27.0,False,FBM,38.0,43,0.01005490099315276,43,43
